Номер дефекта	Название (Summary):	Критичность/Серьезность (Severity):	Окружение	Описание( Description):	Шаги (Steps to reproduce):	Фактический результат (Actual result):	Ожидаемый результат (Expected result):	Ссылка на вложение (Attachments)
1	"Носки" в хедере поиска при поисковом запросе "Пиджак"	Незначительная (Minor)	Win 10, Google Chrome Версия 98.0.4758.102 (Официальная сборка), (64 бит)	При поисковом запросе "Пиджак" в хедере поиска показывает надпись "Носки". Сам поисковый запрос работает правильно. 	1 Зайти на сайт https://henderson.ru/	Поисковый запрос выполняется правильно. В хедере поиска показывает надпись "Носки". (см аттач №1)	Поисковый запрос выполняется правильно. В хедере поиска показывает надпись "Пиджак". 	1) https://prnt.sc/shoP4qqhQRkr
					2 Через строку поиска сделать поисковый запрос "Пиджак" 			
								
								
								
								
								
								
								
								
2	Кнопка "Зарегистрироваться" при работе авторизованного пользователя с поиском  	Значительная (Major)	Win 10, Google Chrome Версия 98.0.4758.102 (Официальная сборка), (64 бит)	При поисковом запросе авторизованного пользователя, в хедере страницы показывается кнопка надпись "Зарегистрироваться" вместо личного кабинета. 	1 Зайти на сайт https://henderson.ru/	В хедере страницы показывается кнопка "Зарегистрироваться". (см аттач №1)	В хедере страницы показывается кнопка "Личный кабинет". 	1) https://prnt.sc/JhO--uzYFwRP
					2 Через строку поиска сделать поисковый запрос 			
								
								
								
								
								
								
								
								
3	Перепутанная сумма скидки 50% в карточке товара при работе с поиском   	Критическая (Critical)	Win 10, Google Chrome Версия 98.0.4758.102 (Официальная сборка), (64 бит)	При поисковом запросе в карточке товара показывается перепутанная сумма скидки 50%	1 Зайти на сайт https://henderson.ru/	В первой карточке товара показывается скидка 50%. Меньшая сумма, слева, зачеркнута. Большая сумма, справа, не зачеркнута. (см аттач №1)	В первой карточке товара показывается скидка 50%. Большая сумма, слева, зачеркнута. Меньшая сумма, справа, не зачеркнута. 	1) https://prnt.sc/Utc6ax9ochM9
					2 Через строку поиска сделать поисковый запрос "Пиджак" 			
								
								
								
								
								
								
								
								
4	Скидка 90% в карточке товара при работе с поиском расчитывается неверно   	Критическая (Critical)	Win 10, Google Chrome Версия 98.0.4758.102 (Официальная сборка), (64 бит)	При поисковом запросе в карточке товара показывается неверная сумма скидки 90%	1 Зайти на сайт https://henderson.ru/	В третьей карточке товара показывается скидка 90%. Большая сумма, слева, зачеркнута 23999. Меньшая сумма, справа, не зачеркнута 11995. (см аттач №1)	В третьей карточке товара показывается скидка 90%. Большая сумма, слева, зачеркнута 23999. Меньшая сумма, справа, не зачеркнута 2399. 	1) https://prnt.sc/_-6zeR8lnuli
					2 Через строку поиска сделать поисковый запрос "Пиджак" 			
